state,x,y
Andhra Pradesh,-88.0,-160.0
Arunachal Pradesh,181.0,147.0
Assam,163.0,91.0
Bihar,52.0,67.0
Chhattisgarh,-15.0,-25.0
Goa,-174.0,-150.0
Gujarat,-232.0,6.0
Haryana,125.0,138.0
Himachal Pradesh,-109.0,205.0
Jharkhand,39.0,23.0
Karnataka,-163.0,-178.0
Kerala,-146.0,-252.0
Madhya Pradesh,-127.0,11.0
Maharashtra,-171.0,-75.0
Manipur,207.0,57.0
Meghalaya,134.0,64.0
Mizoram,197.0,20.0
Nagaland,224.0,88.0
Odisha,27.0,-56.0
Punjab,-138.0,179.0
Rajasthan,-211.0,83.0
Sikkim,101.0,111.0
Tamil Nadu,-84.0,-242.0
Telangana,-79.0,-98.0
Tripura,152.0,34.0
Uttar Pradesh,-58.0,91.0
Uttarakhand,-77.0,161.0
West Bengal,96.0,7.0
Andaman and Nicobar Islands,111.0,-206.0
Chandigarh,-141.0,163.0
Dadra and Nagar Haveli and Daman and Diu,-280.0,-30.0
Delhi,-128.0,124.0
Jammu and Kashmir,-143.0,232.0
Ladakh,-91.0,260.0
Lakshadweep,-229.0,-211.0
Puducherry,-41.0,-222.0
