German,English
Hallo,Hello
Tschüss,Goodbye
Bitte,Please
Danke,Thank you
Ja,Yes
Nein,No
Entschuldigung,Excuse me
Willkommen,Welcome
Guten Morgen,Good morning
Gute Nacht,Good night
Wie,How
Was,What
Wer,Who
Wann,When
Wo,Where
Warum,Why
Ich,I
Du,You
Er,He
Sie,She
Wir,We
Ihr,You (plural)
Sie,They
Mein,My
Dein,Your
Sein,His
Ihr,Her
Unser,Our
Haus,House
Auto,Car
Buch,Book
Stuhl,Chair
Tisch,Table
Wasser,Water
Brot,Bread
Milch,Milk
Kaffee,Coffee
Tee,Tea
Apfel,Apple
Banane,Banana
Hund,Dog
Katze,Cat
Freund,Friend
Familie,Family
Kind,Child
Mutter,Mother
Vater,Father
Bruder,Brother
Schwester,Sister
Schule,School
Lehrer,Teacher
Student,Student
Arbeit,Work
Geld,Money
Zeit,Time
Tag,Day
Nacht,Night
Woche,Week
Monat,Month
Jahr,Year
Stadt,City
Land,Country
Straße,Street
Bahnhof,Train station
Flughafen,Airport
Hotel,Hotel
Zimmer,Room
Essen,Food
Getränk,Drink
Restaurant,Restaurant
Kleidung,Clothes
Schuhe,Shoes
Tür,Door
Fenster,Window
Telefon,Phone
Computer,Computer
Musik,Music
Film,Movie
Liebe,Love
Glücklich,Happy
Traurig,Sad
Schön,Beautiful
Groß,Big
Klein,Small
Heiß,Hot
Kalt,Cold
Schnell,Fast
Langsam,Slow
Neu,New
Alt,Old
Gut,Good
Schlecht,Bad
Heute,Today
Morgen,Tomorrow
Gestern,Yesterday
Immer,Always
Niemals,Never
Jetzt,Now
